Question,Products_name
10 пицц,"[""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона  Medium"",""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium""]"
пиццу без лука и одну без мяса,"[""Сырная Small"",""Двойной цыпленок Medium""]"
"Додстер, картофель из печи и напиток","[""Додстер"",""Картофель из печи"",""Добрый Кола Small""]"
Ветчина и грибы Small,"[""Ветчина и грибы Small""]"
Молоко для 0.4,"[""Молоко для 0.4""]"
хочу пиццу маленькую,"[""Диабло Small""]"
2 Десерта,"[""Маффин Три шоколада"",""Маффин Три шоколада""]"
коктейль с шоколадом,"[""Коктейль Шоколадный (фризер) 0.3""]"
3 early pizzas with cheese so that it is not very expensive,"[""Чоризо фреш Medium"",""Сырная Medium"",""Пепперони Фреш Medium""]"
"три разных напитка, но не кофе","[""Добрый Лайм-Лимон 0.5"",""Морс Вишня 0.45"",""Морс Черная смородина 0.45""]"
special pizza large,"[""Карбонара Large""]"
десять додстеров разных вкусов,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Острый Додстер"",""Супермясной Додстер""]"
водки или пива,"[""Морс Вишня  0.45""]"
Bavarian Small,"[""Баварская Small""]"
хочу острую пиццу с большим количеством мяса на одного,"[""Диабло Small""]"
Маргарита Small,"[""Маргарита Small""]"
Карбонара Small,"[""Карбонара Small""]"
3 пиццы от 999 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
2 соуса,"[""Сырный соус Додо"",""Чесночный соус ""]"
1 с сыром и одну с ветчиной,"[""Ветчина и сыр Small"",""Сырная Medium""]"
"huge gigantic large two pizzas with red onion, but with a different sauce.","[""Карбонара Large"",""Пицца от шефа Large""]"
Кус Мясо и овощи Римская,"[""Кус Мясо и овощи Римская""]"
5 pizzas,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона  Medium""]"
два кофе и что-нибудь одно популярное,"[""Додстер"",""Кофе Капучино 0.4"",""Кофе Латте 0.4""]"
Пиццы на пятерых,"[""Ветчина и сыр Large"",""Пепперони Фреш Large""]"
Комбо от 579 ₽,"[""Аррива! Small"",""Додстер"",""Добрый Кола Big"",""Сырный соус Додо""]"
"Привет. Нас двое, хотим каппучино, чай с лимоном, две пиццы - одна с шампиньонами и ветчиной, другая - где много сыра!","[""Кофе Капучино 0.2"",""Rich Tea Черный с лимоном 0.5"",""Ветчина и грибы Medium"",""Сырная Medium""]"
шаурма и молочный коктель,"[""Додстер"",""Коктейль Шоколадный 0.3""]"
что-нибудь жаренького,"[""Ветчина и грибы Medium"",""Дэнвич ветчина и сыр""]"
something special and premial pizza,"[""Пицца от шефа Medium""]"
Сырные палочки с песто,"[""Сырные палочки с песто""]"
"Комбо от 599 ₽, выгодное","[""Ветчина и грибы Small"",""Додстер"",""Добрый Кола Big"",""Барбекю соус Додо""]"
большую порцию пирожных со сгущенкой,"[""Бруслетики 270.0""]"
Омлет с пепперони в пите,"[""Омлет с пепперони в пите""]"
"крылья, салат","[""Крылья «Барбекю»"",""Салат Цезарь со смесью сыров (трекинг)""]"
8 dodsters,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри""]"
(16) = sixteen identical pizzas of the same size,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
холодный чай,"[""Rich Tea Черный с лимоном 0.5""]"
Кофе Кокосовый латте 0.4,"[""Кофе Кокосовый латте 0.4""]"
3 pizzas from 849 ₽,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
Hand sanitizer gel,"[""Гель-антисептик для рук""]"
soda without sugar,"[""Добрый Кола без сахара Big""]"
"two different pizzas mix, big and small","[""Додо Микс Large"",""Пицца Миксик Small""]"
"додстер, мафин три шоколада, и сырная, все с собой","[""Додстер"",""Маффин Три шоколада"",""Сырная Small""]"
что есть для вдух человек с фирменный томатный соус и одного человека с соусом альфредо?,"[""Ветчина и сыр Small"",""Колбаски барбекю Small"",""Пепперони Фреш Small""]"
Dodo Cap (inedible),"[""Додо Колпак""]"
несколько пицц на 5-6 человек,"[""Бургер-пицца Medium"",""Колбаски барбекю Medium"",""Пепперони Фреш Medium""]"
сырники без ничего,"[""Сырники без топпинга 130.0""]"
Зеленый чай NEW сенча Big,"[""Зеленый чай NEW сенча Big""]"
"double of the pieces for two, from the chef","[""Пицца из половинок Large"",""Пицца от шефа Small""]"
фруктовый молочный коктейль,"[""Карамельное яблоко молочный коктейль""]"
3 pizzas,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
на компанию 5-6 человек хотим пиццы без вегетарианских,"[""Пепперони Фреш Medium"",""Пепперони Фреш Small"",""Сырная Medium"",""Сырная Small"",""Чоризо фреш Medium"",""Чоризо фреш Small""]"
3 pizzas from 829 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
Омлет с овощами,"[""Омлет с овощами""]"
острая и додстер,"[""Аррива! Medium"",""Додстер""]"
закуска с ветчиной и кофе,"[""Дэнвич ветчина и сыр"",""Кофе Латте 0.4""]"
Пепперони Medium,"[""Пепперони Medium""]"
10 питцц,"[""Аррива! Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Гавайская с альфредо Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Овощи и грибы Medium"",""Пепперони Medium"",""Четыре сезона Medium""]"
"Будем смотреть футбол в офисе, 10 человек, пивко взяли","[""Двойная пепперони Large"",""Добрый Кола Big"",""Картофель из печи"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чоризо фреш Medium""]"
2 pizzas,"[""Аррива! Medium"",""Бургер-пицца Medium""]"
"Что есть с такими ингридиентами - ""цыпленок"",""моцарелла"",""соус альфредо"",""Итальянские травы"",""Нежный цыпленок"",""Чеддер и пармезан"",""Черри""?","[""Двойной цыпленок Medium"",""Салат Цезарь со смесью сыров (трекинг)""]"
Деревенская с бужениной Large,"[""Деревенская с бужениной Large""]"
Пицца на компанию,"[""Мясной Микс с пастрами из говядины Medium"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чоризо фреш Medium""]"
пиццу на соусе альфредо ,"[""Ветчина и сыр Medium"",""Сырный соус Додо""]"
2 сырника и напиток,"[""Кофе Капучино 0.3"",""Сырники без топпинга"",""Малиновое варенье""]"
Double Pepperoni Medium,"[""Двойная пепперони Medium""]"
Магнит на холодильник «Хочу пиццу»,"[""Магнит на холодильник «Хочу пиццу»""]"
Пепперони Large,"[""Пепперони Large""]"
закуска на троих перекусить,"[""Грибной Стартер"",""Додстер"",""Сырный Стартер""]"
Мясо и овощи Римская (кусочки) Medium,"[""Мясо и овощи Римская (кусочки) Medium""]"
Пицца 25 см и напиток чтобы вместе было дешевле,"[""Пепперони Фреш Small"",""Добрый Кола Small""]"
мороженое со вкусом маракуйя в стаканчике,"[""Мороженое в стаканчике с манго и маракуйей""]"
коктейль со вкусом банана,"[""Банановый коктейль 0.3""]"
10 додстеров,"[""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной "",""Острый Додстер"",""Супермясной Додстер"",""Додстер"",""Додстер Карри"",""Додстер Песто"",""Додстер с ветчиной ""]"
перекус для настоящего мужика,"[""Барбекю соус Додо"",""Мясная Small""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю""","[""Цыпленок барбекю Small""]"
карамельное мороженое не в вафельном стаканчике,"[""Мороженое в стаканчике с карамелью""]"
delicious sweet fruit macaroon with macaruja,"[""Макарон манго-маракуйя""]"
две сырных,"[""Сырная Medium""]"
Диабло Small,"[""Диабло Small""]"
2 coffees: Latte or Cappuccino,"[""Кофе Капучино 0.3"",""Кофе Латте 0.3""]"
питательный завтрак из омлета и кофе,"[""Кофе Латте 0.2"",""Омлет с ветчиной и грибами""]"
что-нибудь взбодриться,"[""Кофе Американо""]"
Две пепперони,"[""Пепперони Small"",""Пепперони Medium""]"
пирожное с соленой карамелью,"[""Маффин Соленая карамель 120.0""]"
Пицца от шефа Medium,"[""Пицца от шефа Medium""]"
смешай сразу 4 вкуса в одной пицце,"[""Четыре сезона  Large""]"
14 средняя пицца маргарита,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
(15) five teen pizzas,"[""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium"",""Маргарита Medium""]"
пирожные с какао и шоколадом,"[""Брауни""]"
"Мясную пиццу, колу и додстер пожалуйста","[""Додстер"",""Мясная Medium"",""Добрый Кола Small""]"
2 сырника и напиток,"[""Кофе Капучино 0.2"",""Малиновое варенье"",""Сырники без топпинга""]"
"Roman beef pesto 8 pcs (pieces, maternal) Medium","[""Говядина песто Римская 8 шт (кусочки, материнская) Medium""]"
"Хочу почувствовать боль падшего ангела - сына божьего, что был предан отцом и низвергнут в пучины пламенной бездны","[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Ланчбокс с куриными кусочками,"[""Ланчбокс с куриными кусочками""]"
two or three different pizzas to get a discount together,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
пирожное со вкусом шоколада,"[""Маффин Три шоколада 120.0""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок""","[""Сырный цыпленок Small""]"
